complexity,loss,equation,score,sympy_format,lambda_format
1,8921924000.0,12735.48,0.0,12735.4800000000,PySRFunction(X=>12735.4800000000)
3,8064301000.0,x0 * -11390.684,0.05053229068952832,x0*(-11390.684),PySRFunction(X=>x0*(-11390.684))
4,7619227600.0,square(x0 * -48.026005),0.05677203728989229,2306.49715626002*x0**2,PySRFunction(X=>2306.49715626002*x0**2)
5,7139759600.0,square(square(x0) * x0),0.06499589341452042,x0**6,PySRFunction(X=>x0**6)
6,4800191500.0,square(x1 * x0) * 313.6971,0.3970232933655156,(x0**2*x1**2)*313.6971,PySRFunction(X=>(x0**2*x1**2)*313.6971)
7,461672860.0,square(square(x0 * (x1 + -0.7439353))),2.3415545469076964,x0**4*(x1 - 0.7439353)**4,PySRFunction(X=>x0**4*(x1 - 0.7439353)**4)
8,38791356.0,square(square(square((x0 * -0.15641257) * x1))),2.47665910672166,3.58239289984775e-7*x0**8*x1**8,PySRFunction(X=>3.58239289984775e-7*x0**8*x1**8)
10,22588620.0,square(square(square((x0 * -0.13830827) * (-0.6505143 - x1)))),0.27037559933383054,1.33901423068387e-7*x0**8*(-x1 - 0.6505143)**8,PySRFunction(X=>1.33901423068387e-7*x0**8*(-x1 - 0.6505143)**8)
12,18012592.0,square(square(x0 - ((x1 * (x0 * square(x0))) * 0.020889172))),0.11318758537984609,(-0.020889172*x0*x0**2*x1 + x0)**4,PySRFunction(X=>(-0.020889172*x0*x0**2*x1 + x0)**4)
13,15060796.0,square(square(square(x0 * (sqrt(x1) * -0.40060335)) + -9.109128) + -48.464268),0.17897599265614633,((0.160483044031223*x0**2*x1 - 9.109128)**2 - 48.464268)**2,PySRFunction(X=>((0.160483044031223*x0**2*x1 - 9.109128)**2 - 48.464268)**2)
14,3991865.8,square(square(((x0 * (-0.002916447 * (x0 * x1))) * square(x0)) - x0)),1.3278363355709655,(x0*(-0.002916447)*x0*x1*x0**2 - x0)**4,PySRFunction(X=>(x0*(-0.002916447)*x0*x1*x0**2 - x0)**4)
16,3558884.5,square(square((0.40786195 - ((x1 * (x0 * (square(x0) * -0.002887085))) * x0)) + x0)),0.057405793792223506,(-(-0.002887085)*x0*x0*x0**2*x1 + x0 + 0.40786195)**4,PySRFunction(X=>(-(-0.002887085)*x0*x0*x0**2*x1 + x0 + 0.40786195)**4)
18,3526394.2,square(square((x0 + 0.4369092) - ((x1 * (x0 * (square(x0) * -0.002887085))) * x0)) + -1.9098731),0.004585638633510346,((-(-0.002887085)*x0*x0*x0**2*x1 + x0 + 0.4369092)**2 - 1.9098731)**2,PySRFunction(X=>((-(-0.002887085)*x0*x0*x0**2*x1 + x0 + 0.4369092)**2 - 1.9098731)**2)
19,3389381.8,square(square(x0 + (x0 * ((square(x0) - (x1 * (square(x0) * x0))) * -0.0028464647))) + x0),0.03962833091744102,(x0 + (x0*(x0**2 - x0*x0**2*x1)*(-0.0028464647) + x0)**2)**2,PySRFunction(X=>(x0 + (x0*(x0**2 - x0*x0**2*x1)*(-0.0028464647) + x0)**2)**2)
21,3296743.5,square(8.903757 - square(x0 + (-0.002887085 * ((square(x0) - (x1 * (x1 + (x0 * square(x0))))) * x0)))),0.013856190907887644,(8.903757 - (-0.002887085*x0*(x0**2 - x1*(x0*x0**2 + x1)) + x0)**2)**2,PySRFunction(X=>(8.903757 - (-0.002887085*x0*(x0**2 - x1*(x0*x0**2 + x1)) + x0)**2)**2)
23,3295098.2,square(8.903757 - square(-0.002887085 - (x0 + (((square(x0) - (x1 * (x1 + (square(x0) * x0)))) * x0) * -0.002887085)))),0.0002495964116016949,(8.903757 - (-((x0**2 - x1*(x0*x0**2 + x1))*x0*(-0.002887085) + x0) - 0.002887085)**2)**2,PySRFunction(X=>(8.903757 - (-((x0**2 - x1*(x0*x0**2 + x1))*x0*(-0.002887085) + x0) - 0.002887085)**2)**2)
