Complexity,Loss,Equation
1,1107.4857,"63.53836"
2,823.56995,"square(x0)"
3,347.50394,"x0 * 7.2402425"
4,0.35797578,"square(x0 + -1.6346716)"
5,2.7241532e-11,"x0 * (x0 - 2.9999998)"
6,1.8276512e-11,"(x0 * -2.9999998) + square(x0)"
7,1.7410327e-11,"(x0 - 3.0000017) * (x0 + 2.6547611e-6)"
8,1.1606885e-11,"(square(x0) - x0) + (x0 * -1.9999995)"
9,1.0610772e-11,"((x0 - 2.0000005) * x0) + (5.462024e-6 - x0)"
10,9.8745135e-12,"(square(x0) - (x0 + 2.3678372e-6)) + (x0 * -1.9999995)"
11,9.787895e-12,"(((x0 * (x0 - 2.0000005)) + -0.00121212) - x0) + 0.0012179558"
12,7.189339e-12,"((0.9800545 - x0) + (square(x0) - x0)) - (x0 - -0.98005223)"
