Complexity,Loss,Equation
1,0.108456485,"0.16509305"
3,0.014830479,"0.0028552697 ^ x0"
4,0.014830476,"cube(0.14185525 ^ x0)"
5,0.008049153,"cube(square(1.0363728 - x0))"
7,0.002394543,"cube(cube((0.036284413 ^ x0) ^ x0))"
8,0.002394538,"cube(cube(cube((0.33107844 ^ x0) ^ x0)))"
9,0.0012014079,"cube(cube(((0.00713473 / x0) ^ x0) ^ x0))"
10,0.00012464181,"cube(cube(cube(((0.0023067878 ^ x0) ^ x0) ^ x0)))"
11,0.00012461276,"cube(cube(cube(cube(((0.13181697 ^ x0) ^ x0) ^ x0))))"
12,0.0001020952,"cube(cube(cube(((0.0024658274 ^ x0) ^ x0) ^ x0))) * 1.0149922"
