Complexity,Loss,Equation
1,0.0850827,"0.13391618"
3,0.009655227,"0.0006010688 ^ x0"
4,0.009655042,"cube(0.084816374 ^ x0)"
5,0.009655038,"cube(cube(0.43938756 ^ x0))"
6,0.005105581,"cube((0.009194355 / x0) ^ x0)"
7,0.0012030157,"cube(cube((0.0052810004 ^ x0) ^ x0))"
8,0.0012029783,"cube(cube(cube((0.17376214 ^ x0) ^ x0)))"
9,0.0004925566,"cube(cube(((0.0006004635 ^ x0) * 1.3557634) ^ x0))"
10,0.00026470903,"cube(cube(cube(((0.025445446 / x0) ^ x0) ^ x0)))"
11,0.00010033584,"cube(cube(cube(cube(((0.018706378 ^ x0) ^ x0) ^ x0))))"
12,0.00010032439,"cube(square(cube(cube(cube(((0.13660783 ^ x0) ^ x0) ^ x0)))))"
