Complexity,Loss,Equation
1,0.09541625,"0.14972071"
3,0.010844431,"0.0015848373 ^ x0"
4,0.010843906,"cube(0.11578078 ^ x0)"
5,0.0065611433,"cube(square(x0 + -1.0248456))"
6,0.002770282,"cube((9.795125e-5 ^ x0) ^ x0)"
7,0.0011419557,"cube(cube((0.018398149 ^ x0) ^ x0))"
8,0.0011419517,"cube(cube(cube((0.26390225 ^ x0) ^ x0)))"
9,0.0008186038,"cube(square((0.0013756864 ^ x0) ^ x0)) * 1.0733901"
10,3.369518e-5,"cube(cube(cube(((0.00034019529 ^ x0) ^ x0) ^ x0)))"
12,2.114546e-5,"cube(cube(cube(((0.00034019529 ^ x0) ^ x0) ^ x0))) * 0.98891073"
