Complexity,Loss,Equation
1,0.08904998,"0.133275"
3,0.010880178,"0.0006489577 ^ x0"
4,0.010880011,"square(0.025660302 ^ x0)"
5,0.0060516177,"(1.4345816e-13 ^ x0) ^ x0"
6,0.003110513,"cube((7.307963e-6 ^ x0) ^ x0)"
7,0.0015665761,"square(cube((0.00045683488 ^ x0) ^ x0))"
8,0.0015661508,"cube(cube(cube((0.17964399 ^ x0) ^ x0)))"
9,0.0009884309,"cube(cube(((0.0009224678 / x0) ^ x0) ^ x0))"
10,0.000321006,"cube(cube(cube(((0.02675922 / x0) ^ x0) ^ x0)))"
11,6.9056034e-5,"cube(cube((((4.2719377e-5 ^ x0) ^ x0) ^ 3.4776294) ^ x0))"
12,6.904932e-5,"square(cube(cube(cube(cube(((0.14333382 ^ x0) ^ x0) ^ x0)))))"
