Complexity,Loss,Equation
1,20.521267,"-0.95785004"
3,18.264215,"x3 * -11.031436"
5,2.7153177,"(x4 / x1) * 0.14053269"
6,2.6730192,"(x4 * x2) / neg(x1)"
7,2.2194843,"((x4 * 0.1405522) / x1) - x3"
8,2.1794643,"((x4 / x1) * neg(x2)) - x3"
9,0.10296935,"(x4 * (0.1387301 / x1)) - (x3 * 10.0116415)"
10,0.08646236,"(x2 * neg(x4 / x1)) - (x3 / 0.10045104)"
11,0.041092526,"((x4 * 0.13713025) / x1) - ((x3 / 0.09922147) + 0.25336605)"
12,0.026048362,"((x4 / neg(x1)) * x2) - ((x3 / 0.0996108) - -0.2464312)"
