Complexity,Loss,Equation
1,0.02490785,"-0.7404281"
3,0.018564576,"-0.2394278 - x0"
4,0.004890428,"exp(x0) * -0.4208092"
5,0.00044814326,"(x0 * -0.5374395) + -0.4711698"
6,0.000259728,"0.20031956 - sqrt(x0 + 0.40864295)"
8,0.00025962119,"(0.21172112 - sqrt(x0 + 0.41985783)) * 1.0071796"
9,0.00020522527,"(x0 * ((x0 * 0.20581867) - 0.7436856)) + -0.4369302"
10,0.00017965418,"(((exp(x0) * 0.10078489) + -0.80211645) * x0) - 0.43992028"
11,0.00017808046,"(x0 * ((exp(sqrt(x0)) * -0.5630922) + x0)) - 0.438987"
12,0.00010042105,"(-0.52831 - (x0 * 2.0850482)) + ((x0 + 0.64627916) * sqrt(x0))"
