Complexity,Loss,Equation
1,0.10647061,"0.16731082"
3,0.013498592,"0.0031345629 ^ x0"
4,0.013498588,"cube(0.14637673 ^ x0)"
5,0.008687661,"(0.00066554296 ^ x0) * 1.3587065"
6,0.0042189374,"cube((0.032511428 / x0) ^ x0)"
7,0.0012781514,"1.0795212 / exp(square(x0 / -0.17895955))"
8,4.9250946e-5,"cube(0.9998338 / exp(cube(x0 / 0.2697733)))"
9,4.9250128e-5,"square(0.99978924 / square(exp(cube(x0 / 0.29693094))))"
10,3.5055782e-5,"cube(0.9962448 / exp(cube((x0 / 0.25765416) + -0.034823578)))"
11,2.5724974e-5,"square(square(0.9970885 / exp(cube((x0 / 0.2891643) ^ 1.0713636))))"
12,2.5718879e-5,"cube(0.9962009 / square(square(exp(cube((x0 / 0.40692765) ^ 1.0712441)))))"
