Complexity,Loss,Equation
1,0.113630325,"0.18336467"
3,0.015846025,"0.0053225597 ^ x0"
4,0.015845949,"cube(0.17424758 ^ x0)"
5,0.008716195,"square(cube(x0 - 1.0441015))"
6,0.0028841156,"cube((0.0006762535 ^ x0) ^ x0)"
7,0.0027183297,"square(square(0.002726598 ^ x0) ^ x0)"
8,0.0018162702,"cube(1.0355455 / exp(cube(x0 / 0.28003103)))"
9,0.0012059958,"square((3.5587723 / exp(x0 * 18.199877)) ^ x0)"
10,0.0002898434,"square((1.0929973 / exp(square(x0 / -0.12986924))) ^ x0)"
11,0.00028333144,"square((exp(x0) / exp(square(x0 / -0.12507363))) ^ x0)"
12,0.0002059731,"square(((1.5064453 / exp(square(x0 / -0.12507363))) ^ x0) * -0.97507066)"
