Complexity,Loss,Equation
1,27.63317,"-0.6161213"
2,27.199623,"neg(x5)"
3,23.467274,"-1.4983798e-5 / x1"
5,2.8651001,"(x4 * 0.13957973) / x1"
6,2.8215444,"(x4 * neg(x2)) / x1"
7,2.34439,"((x4 * 0.13924524) / x1) - x3"
8,2.2985373,"((x4 * neg(x2)) / x1) - x3"
9,0.13539582,"((x4 * 0.13624425) / x1) - (x3 * 9.958333)"
10,0.08188387,"((x4 * x2) / neg(x1)) - (x3 * 9.9501095)"
11,0.067863755,"((x4 * (0.13550314 / x1)) - (x3 * 10.076701)) - 0.26182705"
12,0.0243022,"((x4 * x2) / neg(x1)) + (-0.24051888 - (x3 * 10.048424))"
