Complexity,Loss,Equation
1,0.11023936,"0.18348674"
3,0.015173391,"0.005290395 ^ x0"
4,0.015173381,"cube(0.17413329 ^ x0)"
5,0.01097295,"(0.0020099503 ^ x0) * 1.2701584"
6,0.0026251408,"cube((0.0003691462 ^ x0) ^ x0)"
7,0.002624903,"cube(cube((0.07225464 ^ x0) ^ x0))"
8,0.0022576933,"cube(((0.00025854725 ^ x0) * 1.1459398) ^ x0)"
10,0.00037122134,"square(square(cube(((7.460936e-5 ^ x0) ^ x0) ^ x0)))"
11,0.0003712104,"square(square(cube(square(((0.008611603 ^ x0) ^ x0) ^ x0))))"
12,0.00037120612,"square(square(cube(cube(square(((0.20483668 ^ x0) ^ x0) ^ x0)))))"
