Complexity,Loss,Equation
1,0.025060194,"-0.74037075"
3,0.018434742,"-0.23936152 - x0"
4,0.0048370482,"exp(x0) * -0.42085037"
5,0.00044859477,"(x0 * -0.5391188) + -0.47026646"
6,0.00022768533,"exp(x0 * -0.7843724) + -1.4331312"
8,0.0002276852,"exp((x0 * 0.30604318) / -0.39017588) + -1.4331312"
9,0.00020706566,"(((x0 * 0.20523095) - 0.7447631) * x0) + -0.43612996"
10,0.00016788399,"(x0 * (square(x0 * -0.380593) - 0.67026967)) + -0.44121003"
11,0.00016157431,"(square(square(x0)) * 0.12434076) - ((x0 * 0.6396405) + 0.4451995)"
12,0.00013413854,"(x0 * (square((x0 + -0.5050907) * -0.64799774) - 0.60136867)) + -0.456593"
