Complexity,Loss,Equation
1,0.12685376,"0.19443835"
3,0.020685554,"0.0069983504 ^ x0"
4,0.020685548,"cube(0.19129542 ^ x0)"
5,0.00076383085,"exp(cube(x0 * -4.6503186))"
6,0.00076383067,"cube(exp(cube(x0 * -3.2243896)))"
7,0.00047480635,"exp(cube(cube(cube(-0.78745323 - x0))))"
8,0.00015378087,"exp(cube(cube(-0.5655183 - (x0 + x0))))"
9,2.6317895e-5,"cube(exp(cube(cube((-0.45469585 - x0) - x0))))"
10,1.6704536e-5,"exp(cube(cube(-0.74831194 - (x0 * 2.035157))) * x0)"
11,1.6313797e-5,"cube(exp(cube(cube((-0.4564717 - x0) - x0)))) * 1.0093293"
12,5.2993987e-6,"exp(cube(x0 * cube((-1.450834 - (x0 * 0.024036631)) - x0)))"
