Complexity,Loss,Equation
1,0.13018103,"0.2001283"
3,0.02210098,"0.008228678 ^ x0"
4,0.02210054,"square(0.09017002 ^ x0)"
5,0.015151923,"(0.003124068 ^ x0) * 1.3227894"
6,0.005274117,"cube((0.0011624254 ^ x0) ^ x0)"
7,0.00013594906,"exp(cube((0.054721963 - x0) / 0.16459937))"
8,7.96628e-5,"exp(0.0013018704 - square(square(x0 / -0.22048293)))"
9,6.1845654e-5,"exp(square(x0) - square(square(x0 / -0.2176723)))"
10,2.5399551e-5,"exp((-0.37450817 - x0) / square(square(0.19347914 / x0)))"
12,1.32028335e-5,"exp((-0.22893421 - x0) / square(square(0.18106775 / x0))) * 0.9890586"
