complexity,loss,equation,score,sympy_format,lambda_format
1,6244.134,90.4673,0.0,90.4673000000000,PySRFunction(X=>90.4673000000000)
3,4875.922,120.85518 / x0,0.12366662412631697,120.85518/x0,PySRFunction(X=>120.85518/x0)
5,4870.1147,(117.0234 / x0) + x1,0.0005958627969560606,x1 + 117.0234/x0,PySRFunction(X=>x1 + 117.0234/x0)
6,4848.2617,(square(x1) + 110.38665) / x0,0.004497260845349556,(x1**2 + 110.38665)/x0,PySRFunction(X=>(x1**2 + 110.38665)/x0)
7,1596.1908,(15.072148 / (1.0025729 - x0)) + 95.29453,1.111000187578792,95.29453 + 15.072148/(1.0025729 - x0),PySRFunction(X=>95.29453 + 15.072148/(1.0025729 - x0))
8,1593.0223,(-30.137842 / (square(x0) - 1.006532)) + 89.203896,0.0019870111799632976,89.203896 - 30.137842/(x0**2 - 1*1.006532),PySRFunction(X=>89.203896 - 30.137842/(x0**2 - 1*1.006532))
9,1589.1232,((x1 + 12.082701) / (1.0030694 - x0)) + 95.97484,0.002450611985741478,95.97484 + (x1 + 12.082701)/(1.0030694 - x0),PySRFunction(X=>95.97484 + (x1 + 12.082701)/(1.0030694 - x0))
10,1581.527,((x1 * -4.751784) / (square(x0) - x0)) + 84.929504,0.004791581571240356,x1*(-4.751784)/(x0**2 - x0) + 84.929504,PySRFunction(X=>x1*(-4.751784)/(x0**2 - x0) + 84.929504)
12,1571.3878,(((-4.8140397 / (square(x0) - x0)) + x0) * x1) + 79.42646,0.0032158290327663677,x1*(x0 - 4.8140397/(x0**2 - x0)) + 79.42646,PySRFunction(X=>x1*(x0 - 4.8140397/(x0**2 - x0)) + 79.42646)
14,1130.3662,((-14.441868 / (square(x0) - x0)) + 79.86058) + (2.4382014 / (2.0071535 - x0)),0.16470876346540592,79.86058 - 14.441868/(x0**2 - x0) + 2.4382014/(2.0071535 - x0),PySRFunction(X=>79.86058 - 14.441868/(x0**2 - x0) + 2.4382014/(2.0071535 - x0))
15,1129.8928,(-14.38687 / ((x0 * x0) - x0)) + ((2.389038 / (2.0064354 - x0)) + 79.54538),0.00041889005368151013,79.54538 - 14.38687/(-x0 + x0*x0) + 2.389038/(2.0064354 - x0),PySRFunction(X=>79.54538 - 14.38687/(-x0 + x0*x0) + 2.389038/(2.0064354 - x0))
16,976.9979,((-0.8734184 / (1.5795547 - x0)) + ((x1 * -4.781403) / (square(x0) - x0))) + 83.49291,0.14539353734614596,x1*(-4.781403)/(x0**2 - x0) + 83.49291 - 0.8734184/(1.5795547 - x0),PySRFunction(X=>x1*(-4.781403)/(x0**2 - x0) + 83.49291 - 0.8734184/(1.5795547 - x0))
18,959.4735,(((x1 * -0.27722394) / (1.579594 - x0)) + 83.093254) + ((x1 / (square(x0) - x0)) * -4.7786293),0.009049903044196986,x1*(-4.7786293)/(x0**2 - x0) + x1*(-0.27722394)/(1.579594 - x0) + 83.093254,PySRFunction(X=>x1*(-4.7786293)/(x0**2 - x0) + x1*(-0.27722394)/(1.579594 - x0) + 83.093254)
20,945.40027,(((x1 * -4.8334775) / (square(x0) - x0)) + 65.98342) + (((-0.28891718 / (1.5805529 - x0)) + 4.848839) * x1),0.007388146281265833,x1*(4.848839 - 0.28891718/(1.5805529 - x0)) + x1*(-4.8334775)/(x0**2 - x0) + 65.98342,PySRFunction(X=>x1*(4.848839 - 0.28891718/(1.5805529 - x0)) + x1*(-4.8334775)/(x0**2 - x0) + 65.98342)
24,940.94226,((x0 * -15.321529) + 78.840256) + ((-0.8911191 / (1.5813414 - x0)) + (((-4.677666 / (square(x0) - x0)) + (x1 - -3.9753656)) * x1)),0.0011816566261951009,x0*(-15.321529) + x1*(x1 - 1*(-3.9753656) - 4.677666/(x0**2 - x0)) + 78.840256 - 0.8911191/(1.5813414 - x0),PySRFunction(X=>x0*(-15.321529) + x1*(x1 - 1*(-3.9753656) - 4.677666/(x0**2 - x0)) + 78.840256 - 0.8911191/(1.5813414 - x0))
25,925.38513,((((x1 * -4.7157874) / (square(x0) - x0)) - (x1 / (x1 - square(x0)))) + 88.39642) + ((x1 * -0.29743966) / (1.5805086 - x0)),0.01667176983095555,x1*(-4.7157874)/(x0**2 - x0) - x1/(-x0**2 + x1) + x1*(-0.29743966)/(1.5805086 - x0) + 88.39642,PySRFunction(X=>x1*(-4.7157874)/(x0**2 - x0) - x1/(-x0**2 + x1) + x1*(-0.29743966)/(1.5805086 - x0) + 88.39642)
27,867.41705,(((x1 * -0.29055634) / (1.5805738 - x0)) + ((x1 * (-4.794513 / (square(x0) - x0))) + 82.42014)) - (x1 / (x1 - square(x0 - 0.11538746))),0.03234505998206574,-x1/(x1 - (x0 - 1*0.11538746)**2) + x1*(-4.794513)/(x0**2 - x0) + x1*(-0.29055634)/(1.5805738 - x0) + 82.42014,PySRFunction(X=>-x1/(x1 - (x0 - 1*0.11538746)**2) + x1*(-4.794513)/(x0**2 - x0) + x1*(-0.29055634)/(1.5805738 - x0) + 82.42014)
28,750.44324,((-0.27722394 * x1) / (1.579594 - x0)) + (83.093254 + (x1 * ((-4.7786293 / (square(x0) - x0)) - (x1 / (x1 - square(square(x0) - 1.579594)))))),0.14485586901945163,x1*(-x1/(x1 - (x0**2 - 1*1.579594)**2) - 4.7786293/(x0**2 - x0)) - 0.27722394*x1/(1.579594 - x0) + 83.093254,PySRFunction(X=>x1*(-x1/(x1 - (x0**2 - 1*1.579594)**2) - 4.7786293/(x0**2 - x0)) - 0.27722394*x1/(1.579594 - x0) + 83.093254)
30,685.8644,(((x1 / (1.5798088 - x0)) * -0.27560896) + (((x1 * (-4.7920866 / (square(x0) - x0))) - (x1 / (x1 - square(square(x0) - 1.6514616)))) + 83.0901)) + 0.43570516,0.04499203904229849,-x1/(x1 - (x0**2 - 1*1.6514616)**2) + x1*(-4.7920866)/(x0**2 - x0) + x1*(-0.27560896)/(1.5798088 - x0) + 0.43570516 + 83.0901,PySRFunction(X=>-x1/(x1 - (x0**2 - 1*1.6514616)**2) + x1*(-4.7920866)/(x0**2 - x0) + x1*(-0.27560896)/(1.5798088 - x0) + 0.43570516 + 83.0901)
